arrayID	sample_name	group	pair
GSM379041	P43_Bulge	WT	P56_bulge
GSM379041	P43_Bulge	WT	P69_bulge
GSM379041	P43_Bulge	WT	P43_HG
GSM379041	P43_Bulge	WT	P56_HG
GSM379041	P43_Bulge	WT	P69_HG
GSM379042	P56_Bulge	KO	P56_bulge
GSM379043	P69_Bulge	KO	P69_bulge
GSM379047	P43_HG	KO	P43_HG
GSM379048	P56_HG	KO	P56_HG
GSM379049	P69_HG	KO	P69_HG
