GeneSymbol	P43_HG	P56_bulge	P56_HG	P69_bulge	P69_HG
Tigd5	-0.106774292683773	NA	-0.205365786976599	-0.0286244531289777	0.351571811534264
Timd2	NA	NA	NA	NA	NA
Timeless	NA	NA	NA	NA	NA
Timm10	0.21872934258983	0.265474834985366	0.221706625897044	0.0478289666134941	-0.503794884271704
Timm13	0.41441340111874	0.311908562591544	0.311908562591544	-0.212754419228016	-0.433644323502731
Timm17a	0	-0.0702818368679665	-0.415187616766767	-0.131135037828949	-1.29481139767896
Timm17b	0.0875011153898901	0.293944956967073	-0.319394099787772	-0.655435393487731	-0.148533392931963
Timm22	-0.233853122037262	0.108317227537677	-0.157142661906212	-0.153326863602312	-0.156652165841415
Timm23	1.02201188115044	0.0546990585695504	0.377653040498155	-0.133857272193037	-0.214900094240567
Timm44	0.581089668854228	-0.00956885299686494	-0.172922453877936	0	0.838957926613425
Timm50	0.194434297317372	0.150020813909892	0.112921021059133	-0.312731789904022	NA
Timm8a1	0.409804589704844	-0.0134224759192838	0.394911364996982	-0.0818169666649675	0.0350128451330129
Timm8a2	NA	NA	NA	NA	NA
Timm8b	-0.091948642669049	0.239583072870001	-0.246519592146925	-0.34245740121929	NA
Timm9	0.689197276393308	-0.0626354233316588	0.847377694893218	0.308967749114291	NA
Timp1	NA	NA	NA	NA	NA
Timp2	-2.56628253120686	0.058015028841389	-1.31128295307137	0.433669046590381	-2.3812568007392
Timp3	1.98951532608924	0.449445621451671	2.45955529119344	1.44244846563824	1.74790992267877
Timp4	NA	NA	NA	NA	NA
Tinag	NA	NA	NA	NA	NA
Tinagl1	NA	NA	NA	NA	NA
Tinf2	NA	NA	NA	NA	NA
Tiparp	1.1944987751007	-0.208523717909683	0.828564754727243	0.295423125196345	1.02148743639424
Tipin	0.978197421645309	0.01998757058122	0.276066437984625	0.344420289391838	-0.233336537555157
Tiprl	-0.455228622750325	0.0528673256355416	-0.345278841264488	0.0383255445085373	-0.891040879839389
Tirap	-1.56809291984612	-0.106609772143553	-1.27129010149105	0.147686127275518	-1.55993233257427
