Probe_ID	GeneSymbol	P43_HG	P56_bulge	P56_HG	P69_bulge	P69_HG
1433718_a_at	Cbx1	-0.100265079858866	-0.0512042581832493	-0.10313100918934	-0.0836877331577721	-0.100265079858866
1436266_x_at	Cbx1	0.321801232825029	0.0980539643708731	0.0356276070214321	-0.032300810820896	-0.162624554316286
1450797_a_at	Cbx1	NA	NA	NA	NA	NA
1422059_at	Cbx2	NA	NA	NA	NA	NA
1434116_at	Cbx2	-0.483807883814761	0.532029333830442	-0.350284411298258	-0.195302126040881	-0.48752138205646
1416884_at	Cbx3	0.59268644577376	-0.0701645567470504	0.36127830000788	-0.183431494021287	0.195906431843646
1432628_at	Cbx3	NA	NA	NA	NA	NA
1439421_x_at	Cbx3	0.128318458803104	-0.0319671154149042	-0.0447222342874198	-0.259689833340184	-0.334585655292317
1448504_a_at	Cbx3	0.136529400696297	0.0355554431590797	-0.0322989639130018	-0.13085010537328	-0.409501151273396
1454305_at	Cbx3	NA	NA	NA	NA	NA
1419583_at	Cbx4	-0.830359705627925	0.218335347563199	-0.539454326122048	-0.482639173271593	-0.228846147123459
1421932_at	Cbx5	NA	NA	NA	NA	NA
1421933_at	Cbx5	0.824722128677707	-0.102854424877307	0.776011526223741	0.0559424395320507	0.135782470001706
1421934_at	Cbx5	0.454590709357007	NA	0.180066777269741	NA	0.527420764926101
1450416_at	Cbx5	-0.196478312636198	NA	NA	NA	NA
1454636_at	Cbx5	0.308633514302839	-0.274628082580622	0.342083570625465	-0.323875963944498	-0.492242993030742
1421181_at	Cbx6	NA	NA	NA	0.0726239109890763	NA
1424407_s_at	Cbx6	-0.98124490966975	0.126372823228941	-0.0449371339430211	-0.076631838893551	-0.782720060847806
1450147_at	Cbx6	NA	NA	NA	NA	NA
1420039_s_at	Cbx7	NA	NA	NA	NA	NA
1449713_at	Cbx7	-0.116657461360197	0.05952363506466	-0.0530457286385815	0	0.169169085916078
1419198_at	Cbx8	-1.58569663658944	0.067828793407501	-1.2074190196351	-0.622324428202647	-1.34158614688355
1419199_at	Cbx8	NA	NA	NA	NA	NA
1451305_at	Cby1	-0.00770271368759801	0.238799368940514	-0.217686813052387	-0.11360818752523	-0.798467267203312
1426422_at	Cc2d1a	-0.0290943163734187	0.224388398554817	-0.0875457356448024	-0.18893156568207	-0.318553052871374
1455991_at	Ccbl2	0.151564782254074	0.409970926451255	0.638015907673227	0	-0.499529244936815
1422111_at	Ccbp2	NA	NA	NA	NA	NA
1422112_at	Ccbp2	NA	NA	NA	NA	NA
1437592_x_at	Ccdc101	0.144977849106628	0.164660256642366	0.0296616266495082	-0.304377528770016	0.341750609251794
1451166_a_at	Ccdc101	0.0761127122935026	0.138827341095402	0.0856287675852361	-0.666850627658633	-0.266790232380512
1451167_at	Ccdc101	-0.604459586586814	0.0532599532773617	0	-0.236053111913656	-1.63079554642115
1427962_at	Ccdc102a	NA	NA	NA	NA	NA
1438316_a_at	Ccdc102a	NA	NA	NA	NA	NA
1451442_at	Ccdc104	-1.13724758583323	-0.543367926217518	-0.910742877979224	-1.10199222530786	-1.18231341694354
1426097_a_at	Ccdc106	-0.195685860101297	NA	0.826906055144038	NA	NA
1451370_at	Ccdc107	0.263851586851733	0.177137349002543	1.01106262069983	0.440302465425956	-0.0417738815957369
1418778_at	Ccdc109b	1.80552892871987	0.513665513586261	0.965680977545436	NA	NA
1427710_at	Ccdc114	NA	NA	NA	NA	NA
1451265_at	Ccdc115	-0.653720373790094	0.254196348668317	-0.111308830809425	0.150962475399193	-0.534527897725376
1452218_at	Ccdc117	NA	NA	-0.0707882546305036	NA	NA
1460399_at	Ccdc117	-1.14790944278031	0.0380970084638097	0.173370635616838	0.361127777201866	-0.859310448939208
1419802_at	Ccdc12	NA	0.0411218644906715	NA	NA	NA
1419803_s_at	Ccdc12	-0.420672103383259	0.00409507059263881	-0.502852982253209	-0.500617787554054	0.237465197285234
1424517_at	Ccdc12	-0.854559708909309	0.117841032482349	-0.598275394285801	-0.0394534946600027	0.133241457899515
1428066_at	Ccdc120	0.141115896986352	-0.0334890641293555	-0.109976524822036	0.841083451602266	0.457272085741916
1421948_a_at	Ccdc123	0.135489992028337	0.130912777579757	-0.334345487693342	-0.466274216496455	-0.584537154075198
1421949_a_at	Ccdc123	0.312322182731478	0.100407701013336	-0.204313898294539	-0.0916962679243278	-0.2476697835096
1449096_at	Ccdc127	-0.463433550099581	0.361051630210838	-0.446911180351165	0.12058899119774	-1.57145113449116
1452523_a_at	Ccdc130	NA	NA	0.404218428253369	NA	NA
1432094_a_at	Ccdc132	0.64070234361377	-0.266628306456822	0.126781752513849	0.270637168882751	-0.128083753104793
1427657_at	Ccdc134	NA	NA	NA	NA	NA
1424699_at	Ccdc136	-1.71951761875823	0.0391375170328274	-0.902797065666689	-0.80371305665984	-1.46473984271496
1424533_a_at	Ccdc137	0.0190736067558408	0.0397891016860505	0.0190736067558408	-0.284953658968622	0.037981332640582
1451178_at	Ccdc142	0.194699592404099	0.199658176403277	-0.0637542612129316	0	-0.270810577621807
1420430_a_at	Ccdc159	NA	NA	NA	NA	NA
1425043_s_at	Ccdc163	0.0206130499771824	-0.305871163291676	0.186153601667457	-0.0232387838966277	-0.0140928831699521
1455279_at	Ccdc164	NA	NA	NA	NA	NA
1451212_at	Ccdc21	0.450697667232387	0.0419000328104895	-0.191096120505255	0.277882109345913	-1.11091122068495
1418347_at	Ccdc22	0.0635077185374486	0.180137777953481	0.121574054100268	-0.0141644547794506	-0.115365555702812
1455805_x_at	Ccdc22	0.32856936778502	0.242870900447709	0.183717817503112	-0.221890669203608	0.0256828251157835
1425616_a_at	Ccdc23	0.381065485001631	0.155486846547149	0.231949523628307	-0.0624645429735811	0.506151568525564
1451799_at	Ccdc25	NA	NA	NA	NA	NA
1425345_at	Ccdc28a	-0.120865235659861	-0.15018675383684	0.135257520679571	-0.172233098880736	0.0450214898587946
1427951_s_at	Ccdc28a	NA	NA	-0.121896803518776	NA	NA
1449345_at	Ccdc34	0.357534741536399	-0.131408670772076	-0.161607205549075	0.160506902706092	-0.826994230927417
1453758_at	Ccdc34	NA	NA	NA	NA	NA
1418543_s_at	Ccdc43	0.169700029154397	-0.0950416575719046	-0.292394065775285	-0.137197506482982	-0.474284754467965
