gene	log2FoldChange
Tyrp1	1.870006581
Cnksr3	-1.082298226
Mycl	2.186207722
Nab2	-0.731994956
Filip1l	-0.921698378
Arhgap44	-0.723193652
Slc16a3	1.773983394
Foxm1	1.270743932
Klf3	-0.774511373
Ifnar2	1.391158967
Gm8994	2.58826659
Fndc1	2.122074734
Postn	-0.80676007
Thsd4	2.256667173
Ptpre	-1.186849567
Sdc1	-0.687454577
Atp6v0a4	1.405930812
Ckap2l	1.873283911
Plk2	1.092443277
Scd2	1.461349128
Arid5a	-0.695434129
Sh3bgrl	1.132454787
Epha2	-0.80551209
Igdcc4	-0.808877086
Mfap2	2.085296973
Myh10	-1.376904166
Kif15	2.037534525
Timeless	1.767429219
Ifi202b	1.713376235
Ammecr1	1.034658308
2700099C18Rik	2.438104272
Gpc1	0.81985682
Lypd3	-0.96930634
Pmel	2.142937462
Laptm4b	-0.845741558
Dock9	-0.717243414
Tuba8	-1.225398811
Arhgef28	-0.802240313
Stap2	1.146937683
Cadm1	-0.738893047
C1qtnf3	1.729598985
Phlda3	-0.702877338
BC039771	2.500392762
Cxcl2	1.434787482
Dbi	-0.855841047
Klhl29	-0.894636209
Gins2	1.23173432
P2ry10	2.341307804
Efnb1	-1.073430235
Phc2	-0.720428162
Dpy19l3	-0.865479298
Hbegf	-0.871817743
Mfap3l	0.728523839
Hpgd	1.050445456
Diap3	1.268502991
Zhx3	-0.935296784
A030009H04Rik	-1.069685954
Cd68	-0.993778874
2510009E07Rik	-0.825034904
Apoc1	0.977222025
Ly6e	1.189400628
Marcksl1	-0.946611515
Oaf	1.170965131
Palld	-0.733077683
Ppp1r3c	-1.722893851
Slc39a8	-0.751927567
Wdr35	-0.794281248
Dusp6	-0.7212921
Abhd2	0.819815257
Cdca7l	1.210592498
Man2a2	0.690611022
Ccnb1	1.917658031
Brca1	2.115025418
Parva	0.750001111
C330027C09Rik	1.527238643
Elovl7	1.033123294
Itprip	-0.974310934
Adra2a	-1.878236238
Hmgn2	0.793700342
Ano7	1.867769897
Ifi27	0.741914931
Man1a	0.819462001
Cyp27a1	1.242155586
Ltb4r1	-0.955263213
Slco3a1	1.031229493
Dusp7	-0.912344342
St3gal2	-0.859046813
Cystm1	-1.221039997
Ppp1r13l	-0.616145347
2610203C20Rik	1.384738429
Casp14	1.375776276
Cxcl10	1.810780082
Cyr61	-0.928611092
Sgol2	2.144252315
Ralgds	0.629049543
Lrrc41	-0.695744977
Mcm10	2.011115078
Mettl17	1.06017894
Trp73	0.928831979
Srrm4	-1.087343734
Crybg3	0.846693312
Acp5	1.089725869
Ccnb2	1.886370763
Camsap3	-0.771385092
Ccna2	1.56592065
Zfp712	1.925730312
Ptprc	2.069430309
Slpi	1.900224555
Vcam1	1.490422098
Dapk1	-1.161891836
Nxph1	2.204515976
Zfp853	2.420644646
Hps3	-1.047131455
Prnp	-0.69519172
Scn7a	2.064667873
Pck2	0.999416373
Fgf18	-1.34574622
Gzmc	2.22237652
Tle1	0.703225209
Rad51	1.887033137
Clasp2	-0.793979221
Itgb4	-0.71681432
Sema4b	-0.904073225
Tyr	2.369302564
Triobp	-0.737593525
Slc37a3	-0.838672599
Smoc1	-1.492992564
Irf8	2.21407827
Abi3bp	1.142236048
Cenpa	1.49545246
Adcy7	1.786557013
Dapp1	1.859685149
Fras1	1.7714318
Arhgef12	-0.605265672
H2-M2	1.730272708
Ckap2	1.315943982
Flii	-0.713653506
Nlrc5	0.804833279
Adamts13	0.905731046
Ints6	-0.827038882
Aurkb	2.128928195
Iffo2	-0.769673726
Ndufa4l2	2.121117969
Ptgs2	-1.125384178
Arl4a	-0.662833652
Glo1	0.662944883
Lmnb1	0.940161772
Csgalnact1	0.900782834
9530082P21Rik	1.50661408
Nppc	0.995486586
Col4a3	-2.217952511
Duox1	-0.701855119
Ism1	-0.657551398
Fgl2	1.13803853
Ppp2r2c	1.743571033
Moxd1	0.606572793
Aqp9	1.48517818
Ddr1	-0.751430298
Kif21a	-0.763191513
Pcdh20	1.826061747
Wnt11	-0.905833773
Serpina3b	-1.728539802
Efemp1	1.510715895
4632428N05Rik	0.882903478
Ankrd10	-0.808882214
C1ql3	-2.219364737
Vps37b	-0.707538332
Lysmd3	-0.801932482
Tle2	0.946106984
Phldb1	-0.848214993
Adamtsl1	1.656639429
E130012A19Rik	-0.868221936
Aacs	-0.642650177
Bbox1	1.475740591
H2-M3	1.553665445
Thsd1	-0.649118501
Gse1	-0.641040675
Irf9	0.957346197
Rab32	1.27412061
Rab6b	-1.360126022
Cdkn3	2.316400391
Sertad1	-0.814015236
Slc38a9	1.035461723
Sphkap	-1.690575261
Synpo2	1.032505184
Gm11627	2.312218108
Col4a2	-0.694124641
Tns1	-0.558831053
Tppp3	0.80295196
Dpp4	1.754264085
Gm13225	1.958415643
Porcn	0.851405712
Zfp592	-0.636782389
Pxdn	1.202737651
Twist1	1.850744743
Zfp36	-0.711002063
Mmp28	1.953762364
Melk	2.154793814
Zfp36l2	-0.680517392
Wwp2	-0.60031957
Casp8	0.880076577
Hdac5	0.595460937
Egfl7	1.776090469
Rab11fip3	-0.72132607
Exosc8	0.951571168
Tuft1	-0.797798365
Cd59a	0.80928475
Rassf10	1.544716158
Apobec1	2.038579544
Gm11127	1.762460152
Pros1	0.648325598
Pde8a	-0.871682238
Steap2	1.38755572
Hyal2	-0.931269755
Nsmce4a	0.880989429
Diap1	-0.677034714
Dlc1	-1.045095758
Evi5l	-0.791462442
Olfml2a	2.26167224
Prlr	-0.595158266
Rasgef1b	0.709024864
Antxr2	1.182110718
Cebpd	0.689459515
Tap1	0.781571692
Nat6	-0.781844033
Rgs19	1.051772566
Daam1	-0.769188615
Mycbpap	2.181084557
S100a14	-0.565332104
D630036G22Rik	-1.822082668
Bcl3	0.993068259
5031439G07Rik	-0.723274674
Lad1	-0.613159262
Ado	0.964817914
Rnf39	-0.72425614
Sfxn1	1.037853009
Mrgprf	-0.952605624
Bnc2	-0.725810088
Neurl1b	-1.095199594
Nfe2l2	-0.624107077
Impad1	0.589684741
Trp53inp1	0.831644233
Bcl11b	0.693150021
Col17a1	-0.632314987
Ifnlr1	1.096901253
Ccdc120	-0.749474393
Phldb2	0.967202285
Ociad2	1.321119098
A230050P20Rik	1.394412723
Angptl4	1.002553877
Gas2l3	1.128192016
Syt4	1.738418249
Usp24	-0.823230639
Col14a1	1.741615205
Sgms2	-0.784350872
Cdkn1a	-0.728800915
Klf10	-0.773688136
Foxi3	1.817087629
Prss8	-0.970954596
Ncald	1.098145555
Gpm6b	1.289193482
Hoxb3os	1.892410666
Olfml2b	1.510284652
Egr3	-0.698096644
Scin	0.98506945
Tmem255a	1.765666601
Ncapg	1.454312688
Best2	-1.966820871
Serpina3n	1.248644547
Gm26902	1.293605357
Sfn	-0.705913353
Grem1	-0.839993098
Cdk6	1.088999317
G530011O06Rik	-0.901114882
Il13ra1	0.56035079
Pxn	-0.769455386
Clca1	1.28367342
Cul1	-0.691420589
Acot7	0.869079545
Plxdc2	-0.674969003
Prss12	1.732895501
Pitpnc1	1.069283389
Lig1	0.909730309
