GeneSymbol	aHFSC1	aHFSC2	qHFSC	TAC1	TAC2
1700007J10Rik	NA	NA	NA	NA	NA
1700007J24Rik	NA	NA	NA	NA	NA
1700007K09Rik	NA	NA	NA	NA	NA
1700007K13Rik	-0.0996475331451343	0.271587449647305	-0.604312042606471	-0.49923006089743	-0.0331556401748028
1700007L15Rik	NA	-0.130025218527052	NA	-0.0945574596567251	-0.130025218527052
1700008A04Rik	NA	NA	NA	NA	NA
1700008F19Rik	NA	NA	NA	NA	NA
1700008F21Rik	NA	NA	NA	NA	NA
1700008H02Rik	NA	NA	NA	NA	NA
1700008I05Rik	NA	NA	NA	NA	NA
1700008J07Rik	0.0501620907050278	0.283686754894568	0.0602968259763577	0.581971177183987	0.511179311302884
1700008K24Rik	NA	NA	NA	NA	NA
1700008N17Rik	NA	NA	NA	NA	NA
1700008O03Rik	NA	NA	NA	NA	NA
1700008P02Rik	NA	NA	NA	NA	NA
1700008P20Rik	NA	NA	NA	NA	NA
1700009J07Rik	NA	NA	NA	NA	NA
1700009N14Rik	NA	NA	NA	NA	NA
1700009P17Rik	NA	NA	NA	NA	NA
1700010B08Rik	NA	NA	NA	NA	NA
1700010B09Rik	0.0913606360611228	NA	NA	NA	-0.0897574414625004
1700010B13Rik	NA	NA	NA	NA	NA
1700010D01Rik	NA	NA	NA	NA	NA
1700010H22Rik	NA	NA	NA	NA	NA
1700010I14Rik	NA	NA	NA	NA	NA
1700010L04Rik	NA	NA	NA	NA	NA
1700010M22Rik	NA	NA	NA	NA	NA
1700010N08Rik	NA	NA	NA	NA	NA
1700011A15Rik	NA	NA	NA	NA	NA
1700011B04Rik	NA	NA	NA	NA	NA
1700011E24Rik	NA	NA	NA	NA	NA
1700011F03Rik	NA	NA	NA	NA	NA
1700011F14Rik	NA	NA	NA	NA	NA
1700011H14Rik	NA	NA	NA	NA	NA
1700011I03Rik	NA	NA	NA	NA	NA
1700011J10Rik	NA	NA	NA	NA	NA
1700011L22Rik	NA	NA	NA	NA	NA
1700011M02Rik	NA	NA	NA	NA	NA
1700012A03Rik	NA	NA	NA	NA	NA
1700012A16Rik	NA	NA	NA	NA	NA
1700012B07Rik	NA	NA	NA	NA	NA
1700012B09Rik	NA	NA	NA	NA	NA
1700012B15Rik	-0.522553802740483	-0.392851495835865	0.174832230228551	-0.889200292760842	-0.702126254526255
1700012D01Rik	-0.269817890737426	0.231420088269914	-0.434555912172637	-0.297444469107463	-0.0621121546116559
1700012D14Rik	NA	NA	-0.234836360017927	NA	NA
1700012E03Rik	NA	NA	NA	NA	NA
1700012I11Rik	NA	NA	NA	NA	NA
1700012L04Rik	NA	NA	NA	NA	NA
1700012O15Rik	NA	NA	NA	NA	NA
1700012P22Rik	NA	NA	NA	NA	NA
1700013D24Rik	NA	NA	NA	NA	NA
1700013F07Rik	NA	NA	NA	NA	NA
1700013G23Rik	NA	NA	NA	NA	NA
1700013G24Rik	NA	NA	NA	NA	NA
1700013H16Rik	NA	NA	NA	NA	NA
1700014B07Rik	NA	NA	NA	NA	NA
1700014N06Rik	NA	NA	NA	NA	NA
1700015C15Rik	NA	NA	NA	NA	NA
1700015E13Rik	NA	NA	NA	NA	NA
1700015F17Rik	NA	NA	NA	NA	NA
1700015G11Rik	NA	NA	NA	NA	NA
1700016A09Rik	NA	NA	NA	NA	NA
1700016C15Rik	NA	NA	NA	NA	NA
1700016D06Rik	NA	NA	NA	NA	NA
1700016D18Rik	NA	NA	NA	NA	NA
1700016G14Rik	NA	NA	NA	NA	NA
1700016H13Rik	NA	NA	NA	NA	NA
1700016K19Rik	NA	NA	NA	NA	NA
1700016M24Rik	NA	NA	NA	NA	NA
1700016P04Rik	NA	NA	NA	NA	NA
1700017B05Rik	NA	0.596926518586351	NA	-0.119610615792004	0.122679396500649
1700017D01Rik	NA	NA	NA	NA	NA
1700017G19Rik	NA	NA	NA	NA	NA
1700017H01Rik	NA	NA	NA	NA	NA
1700017L05Rik	NA	NA	NA	NA	NA
1700017N19Rik	NA	NA	NA	NA	NA
1700018A04Rik	NA	NA	NA	NA	NA
1700018A14Rik	NA	NA	NA	NA	NA
1700018B08Rik	NA	NA	NA	NA	NA
1700018B24Rik	NA	NA	NA	NA	NA
1700018C11Rik	NA	NA	NA	NA	NA
1700018F24Rik	NA	NA	NA	NA	NA
1700018G05Rik	NA	NA	NA	NA	NA
1700018L02Rik	NA	NA	NA	NA	NA
1700018L24Rik	NA	NA	NA	NA	NA
1700018M17Rik	NA	NA	NA	NA	NA
1700018P08Rik	NA	NA	NA	NA	NA
1700019A02Rik	NA	NA	NA	NA	NA
1700019B03Rik	NA	NA	NA	NA	NA
1700019D03Rik	-3.52125796275901	-3.39596259441911	0.122881754643394	NA	NA
1700019E19Rik	-0.0771276200110425	-0.0109812133754321	0.091001783438502	0.0362348087268565	-0.220144180849212
1700019G06Rik	NA	NA	NA	NA	NA
1700019G17Rik	NA	NA	NA	NA	NA
1700019L03Rik	NA	NA	NA	NA	NA
1700019L13Rik	NA	NA	NA	NA	NA
1700019M22Rik	NA	NA	NA	NA	NA
1700019N12Rik	NA	NA	NA	NA	NA
1700019N19Rik	NA	NA	NA	NA	NA
1700019O17Rik	NA	NA	NA	NA	NA
1700019P21Rik	NA	NA	NA	NA	NA
1700020A23Rik	NA	NA	NA	NA	NA
1700020D05Rik	NA	NA	NA	NA	NA
1700020G03Rik	NA	NA	NA	NA	NA
1700020I14Rik	0.0232411678676634	-0.313198542548276	-0.203769939199299	-0.312972547436798	-0.398116923390935
1700020L24Rik	NA	NA	NA	NA	NA
