GeneSymbol	P18-P21_Bu_0division_2	P18-P21_Bu_0division_3	P18-P21_Bu_1-2division_1	P18-P21_Bu_1-2division_2	P18-P21_Bu_1-2division_3	P22-P25_Bu_0division_1	P22-P25_Bu_0division_2	P22-P25_Bu_0division_3	P22-P25_Bu_1-2division_1	P22-P25_Bu_1-2division_2	P22-P25_Bu_1-2division_3
0610005C13Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0610006L08Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0610007C21Rik	0.107932568702515	0.651220092827325	0.708473018346189	0.131939356550247	0.120541375206666	-0.308572339315531	-0.585413036605862	0.600604582409686	0.37597250650612	0.132241453850296	0.726178662897246
0610007L01Rik	0.218171977515475	0.0271406721683842	-0.0718055739903161	0.0758673924978375	-0.0962393505633292	0.430945514094423	0.427513944795623	0.397087899088725	0.370332102012989	0.294251528943413	0.602099257854386
0610007N19Rik	0.552590548503223	0.782479860573616	NA	0.241720671108651	0.425562176712875	0.70613303554277	0.629561994892287	1.56500655231891	0.744534806227602	1.57683898478877	0.907987469501334
0610007P08Rik	0.125627163410284	0.26066153023629	-0.0587222753047207	0.315114266741394	0.441727205521635	0.533665482836044	-0.180065930286682	0.418792007509596	-0.140152130305593	0.158069603386737	0.324582513595655
0610007P14Rik	0.933885394323045	0.345129772624328	-0.0290265217590431	-0.0092177020386206	-0.163926610374905	0.41134706494	0.694601371677858	0.938814959013931	0.110006812876645	0.194263474182296	0.167503318312517
0610007P22Rik	-0.615952912451675	0.161498931449682	-0.19505043551976	-0.203142916618745	-0.6166955528817	-0.257789344555396	-0.194677908368684	0.584165785032635	0.135082045678808	-0.459037583417816	-0.132084004117927
0610008F07Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0610009B14Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0610009B22Rik	-0.0994522072889001	0.181108444206384	0.295084221172976	0.312708833762086	0.063133660422265	0.359838218878378	0.268334831207	0.461098908692824	0.254240994488486	0.496452062450917	-0.393522123058402
0610009D07Rik	0.120920149732862	-0.13625013234847	0.454343651313801	0.473689478733182	0.234369302020887	-0.012291744046049	0.136064734473969	0.39249539038018	0.040036398591953	0.0801373815929747	-0.199875746914345
0610009L18Rik	-0.296066061348062	1.46368276452263	1.00142982144521	-0.286985839560591	0.894947755855995	1.09849199962546	0.345087928769244	0.562171495139322	-0.565549483578445	0.317196794751315	0.10263453168964
0610009O20Rik	0.0700154126386572	-0.41133270647561	0.36075232716745	0.315216160103134	0.507843894741475	-0.060718281667488	0.124425024879844	0.220872957789473	0.0772453519797942	0.532813156161135	0.28549376706947
0610010B08Rik	-0.133032310526292	-0.113095803511356	-0.401284431970246	-0.175117270241357	-0.225808103643248	-0.202709234135862	-0.325085495676489	-0.316545216111003	-0.726834505247145	-0.18499103043693	-0.111537461498098
0610010F05Rik	0.156904210971317	-0.169760209707028	0.0667984492203191	0.0836167434946842	-0.317604792539885	0.047004635430183	-0.447974201725231	-0.287899492427985	0.584438663312033	0.188528014692308	-0.0449787953038077
0610010K14Rik	0.792921419493027	1.22364954264109	0.0396897924455546	-0.196083504171875	-0.347332526702939	0.918871769654794	0.582775671995335	1.11590480196854	0.641747989777969	0.453114849848046	0.925868443322314
0610010O12Rik	0.265487113318294	0.307687198079573	NA	NA	0.304144900991682	1.0952394240108	0.1865330549526	1.77793590596818	1.55406328392401	0.311092358507249	0.475425976382002
0610011F06Rik	0.03559179319147	0.18329481383887	0.640227779362874	0.395610256944275	0.294206751519999	0.253464387862819	0.532515426527675	0.709077165072343	0.728808915589678	0.458764324213151	0.436876837578015
0610011L14Rik	-0.459700301754607	0.192232615499933	-0.0040851705910061	-0.348873106792596	-0.142735299339178	-0.16990073665087	-0.168545001826499	0.381147375913315	-0.444962241542798	-0.17611992159768	0.321763712388047
0610012G03Rik	-0.286767091616051	-0.446917411938702	0.398276985053096	0.21403660227764	-0.273862219053316	0.0908627889924611	0.56986406982468	0.871015745686591	-0.0722474930743058	-0.133967768685412	-0.191040280693922
0610012H03Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.130661496138041
0610025J13Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0610030E20Rik	0.138487691920083	0.289554447248195	0.363137183056118	0.496231081070032	0.712103620582317	0.354470616658713	-0.0983403590420013	0.127760594773451	0.371983104057013	0.257031522305869	0.216699940767995
0610031J06Rik	-0.152501943522063	0.515860625901478	0.185564870983077	-0.341561050274835	-0.0760206149051994	0.0911994872637809	0.116016181066286	0.318371332218755	-0.134686491904357	-0.27745515107436	0.843229740188781
0610033M10Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0610037L13Rik	0.126111037568272	0.382875417493945	-0.0946048125527805	0.215073932722706	-0.452916023875616	0.0241443710704576	-0.215821399137565	-0.0132661033107357	-0.904607973308398	-0.175600969120062	0.317314459236947
0610037P05Rik	-0.0345435776866161	-0.0673056818178601	0.0828528236556636	0.126897453002917	0.488563541579891	0.235597937227944	0.0625400975050852	0.359503105979961	-0.160404441903099	0.0768503925061115	-0.0495168625749045
0610038B21Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0610038L08Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0610039K10Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
