gene	aHFSC1	aHFSC2	qHFSC	TAC1	TAC2
0610005C13Rik	0.115649907567717	0.0749667218543419	0.160493671680508	0.133427062496954	0.0379684095695185
0610006L08Rik	0.536762846026273	0.235215745286251	0.327226955256021	0.244564566200445	0.390394261171185
0610007C21Rik	0.0259518841807704	0.0934944258387702	-0.13792294403482	-0.474332084251662	-0.75315987533423
0610007L01Rik	-0.00768142263966265	0.284191167289147	0.0986081257460558	0.199199071391517	0.31958249295743
0610007N19Rik	0.302256185721431	0.157428920476643	0.275554368278022	-1.59171724168753	-1.37343957080253
0610007P08Rik	0.218670351414494	0.132150436625168	-0.0734935803937571	0.11922540211547	0.313250598054537
0610007P14Rik	0.171320441697985	0.284451433112634	0.125885459460891	0.392576258009154	0.635105699584244
0610007P22Rik	-0.114940716196182	0.0449624029854814	0.171512818283135	-0.214344426485409	-0.121851632765345
0610008F07Rik	-0.172713372745515	0.252870333310164	0.110642963490822	-0.215058810232228	0.0726870099533041
0610009B14Rik	0.758333448760928	0.569814112054962	0.346162607095921	0.692306782862906	0.826068711812924
0610009B22Rik	-0.0252432001337972	-0.0728106462276248	0.172550726190504	-0.0833910141028404	-0.0927300195833407
0610009D07Rik	-0.103979018378066	-0.104103917986011	-0.130661981556625	0.301687544550649	0.214810822645852
0610009L18Rik	-0.360516511092008	0.177663606029641	0.633328070340555	-0.639309753363634	-0.644297883786502
0610009O20Rik	-0.0442680793697319	0.189388697186366	0.381192971577981	0.139530655990005	0.210839249149302
0610010B08Rik	-0.0515482899421107	-1.12350955018925	-0.103315017796819	-0.00296241278414477	-0.709609514003848
0610010F05Rik	-0.041225463854401	-0.0144237005019887	-0.263093467662836	0.407443912207785	0.630096907690085
0610010K14Rik	0.00739016540698945	0.346802722514883	0.147656267356758	0.288695203970627	0.426150313458418
0610010O12Rik	0.0920173881064827	0.201145138767444	-0.0032267698800843	-0.0789243253825931	-0.252112037228498
0610011F06Rik	0.192434767412063	0.241452207486941	-0.00353417240310749	0.0682419199284299	-0.0365163278476617
0610011L14Rik	-0.190272043648065	0.044955804372897	0.133890633655105	-0.154635663921718	-0.183758604321626
0610012G03Rik	-0.347226226260664	-0.119193899518638	-0.0689292664505299	0.34260224893492	-0.0515374081842399
0610012H03Rik	0.245723376549946	0.261181379873911	0.454640021034775	-0.0521753245289673	-0.151609135304557
0610025J13Rik	0.324858764920701	0.258133927892439	0.273426584146373	0.263947687058327	0.104320410841554
0610030E20Rik	-0.346578479744368	-0.104959007618385	-0.0739476821908909	-0.267352406070917	-0.033890242798174
0610031J06Rik	-0.271653772738992	0.0909654788305581	0.173241892898357	-0.733968645631599	-1.01842070032785
0610033M10Rik	0.0194768627959174	-0.0749734992199365	-0.135643097226485	-0.144500188839146	-0.173645301562162
0610037L13Rik	-0.552788239508992	-0.350834032974745	0.139292350862146	-0.417211545494586	-0.603230655243884
0610037P05Rik	0.0457417488364946	0.164289889389837	0.209982830707435	0.0785248832845387	0.0427552351741181
0610038B21Rik	0.214697413305972	0.0704033870813427	0.214460153468877	0.186141968620596	0.044632195553497
0610038L08Rik	-0.00515402193947612	-0.100619453630734	-0.0955740003551204	-0.0695480288513393	0.0259123190932762
0610039K10Rik	0.275905123892247	0.0466477650766439	-0.182279663702964	0.123764225819038	-0.130983026617621
0610040A22Rik	-0.230338169108359	0.0270378896689856	-0.231387590983764	-0.31914738602806	-0.228982125039345
0610040B09Rik	-0.370377870482459	-0.505935976434628	0.10323574840187	-1.08260265429486	-0.847239313456441
0610040B10Rik	0.301181967361722	-0.0781883611362553	0.0701539287269686	0.227171888405272	-0.0706748462651918
0610040F04Rik	0.0917259176052476	0.413097923796785	0.338740963213267	0.125068995046362	0.125068995046362
0610040J01Rik	-0.0236024031473558	-0.352180704581764	-0.0166232497608778	0.0398301646053714	-0.0166232497608778
0610042E11Rik	0.0210888228636088	-0.0860795926339333	-0.256529781939383	-0.147852955121307	-0.489797736977802
0710001A04Rik	0.167181218358289	-0.0994099460104518	0.124166668327757	0.167181218358289	-0.00831011577879881
0710001D07Rik	-0.0881295082342834	0.0940403825517313	-0.0150991033132062	0.140512144585314	0.0874248592657043
0710007G10Rik	-0.675610178381487	-0.510790348638152	-0.0156030088933212	-1.16570413442698	-1.46044723103034
0910001L09Rik	0.0117899227482692	0.238130350863791	0.203441466309513	-0.189514019518539	-0.528047072784368
1-Mar	0.124490807305706	0.0127615296238237	0.104264057083716	0.235900003636412	0.132881029645738
1-Sep	0.250564252798104	0.484972115970514	0.452158837921114	0.114349283463845	0.0468090391958
10-Mar	0.350855263626901	0.0308255290294155	-0.175261037893558	0.0021524724360904	0.126194275563687
10-Sep	0.406976037206772	-0.168670291613353	0.0865118966634379	0.139412719128173	0.0924310393357919
100043387	-0.347482611922992	-1.34930367159094	-0.26449688138306	-0.0428760412475313	-0.574344901699709
1010001B22Rik	-0.0314586910839765	0.177591890287447	0.17226899228076	0.0870000773799999	0.056754865110757
1010001I08Rik	0.246664863688999	0.123103118123228	0.0428505500112917	0.023562042789715	-0.0583168652937323
11-Mar	0.208935114188733	0.223974868932932	-0.140270619577506	0.0337344224077256	-0.0700756909733125
11-Sep	1.04306980193751	0.832777512332427	-0.0932411829748894	2.31654396026965	2.92559103059602
1100001G20Rik	-2.21602884670753	-4.04567941810533	-0.109740072216093	-0.847517236582878	-4.22688643361646
1110001A16Rik	-0.412087784482871	-0.532195756533445	0.19246556609726	-0.798177779361373	-1.08309886873795
