arrayID	sample_name	group	pair
GSM768826	qHFSC_rep1	WT	qHFSC
GSM768826	qHFSC_rep1	WT	aHFSC1
GSM768826	qHFSC_rep1	WT	aHFSC2
GSM768826	qHFSC_rep1	WT	TAC1
GSM768826	qHFSC_rep1	WT	TAC2
GSM768827 	qHFSC_rep2	KO	qHFSC
GSM768828 	aHFSC_rep1	KO	aHFSC1
GSM768829 	aHFSC_rep2	KO	aHFSC2
GSM768830 	TAC_rep1	KO	TAC1
GSM768831 	TAC_rep2	KO	TAC2
