Probe_ID	GeneSymbol	aHFSC1	aHFSC2	qHFSC	TAC1	TAC2
1434906_at	0610005C13Rik	NA	NA	NA	NA	NA
1430444_at	0610006L08Rik	NA	NA	NA	NA	NA
1428380_at	0610007C21Rik	0.0259518841807704	0.0934944258387702	-0.13792294403482	-0.474332084251662	-0.75315987533423
1428544_at	0610007L01Rik	-0.00768142263966265	0.284191167289147	-0.210011093822254	0.321866077150213	0.31958249295743
1428545_at	0610007L01Rik	0.199199071391517	0.748245962443786	0.158798245480972	0.199199071391517	0.419759780295844
1433900_at	0610007L01Rik	-0.219567624155026	0.109687596524852	0.0986081257460558	-0.668898432092627	-0.306391790465671
1429027_at	0610007N19Rik	0.302256185721431	0.157428920476643	0.275554368278022	NA	NA
1427836_at	0610007P08Rik	NA	NA	NA	NA	NA
1452447_at	0610007P08Rik	NA	NA	NA	NA	NA
1452573_a_at	0610007P08Rik	NA	NA	NA	NA	NA
1453985_at	0610007P08Rik	NA	NA	NA	NA	NA
1460404_at	0610007P08Rik	0.218670351414494	0.152193384279552	-0.0734935803937571	-0.0675597392663985	0.313250598054537
1454161_s_at	0610007P14Rik	0.171320441697985	0.284451433112634	0.125885459460891	0.392576258009154	0.635105699584244
1431132_x_at	0610007P22Rik	NA	0.135366804276241	0.444453921130483	0.0599485405855908	NA
1437969_s_at	0610007P22Rik	-0.207601025003731	-0.0454419983052778	-0.101428284564212	-0.488637393556409	-0.143331134420713
1425246_at	0610008F07Rik	NA	NA	NA	NA	NA
1431446_at	0610009B14Rik	NA	NA	NA	NA	NA
1418083_at	0610009B22Rik	-0.0252432001337972	-0.0728106462276248	0.172550726190504	-0.0833910141028404	-0.0927300195833407
1417054_a_at	0610009D07Rik	-0.0991588826367842	-0.187208339180971	-0.146676303461277	0.258233903395723	0.220370793705721
1417055_at	0610009D07Rik	-0.130446109545883	-0.0335796647104001	-0.114647659651974	0.405773578969086	0.469372445252766
1435508_x_at	0610009D07Rik	NA	-0.0958378240058622	-0.247384993359757	NA	0.144960299298652
1436681_x_at	0610009D07Rik	-0.108799154119348	-0.11237001196616	-0.00685570515477174	0.345141185705575	0.209250851585983
1453141_at	0610009L18Rik	-0.360516511092008	0.177663606029641	0.633328070340555	NA	NA
1421049_at	0610009O20Rik	NA	NA	NA	NA	NA
1452685_at	0610009O20Rik	-0.521432607343313	-0.0347309464584669	0.33471937245302	-0.176929866845606	-0.00802942323967315
1426558_x_at	0610010B08Rik	-0.347482611922992	-1.34930367159094	-0.26449688138306	-0.0428760412475313	-0.574344901699709
1427174_at	0610010B08Rik	-1.09083370350942	-2.22849967661979	-0.387480559770673	-1.81318267459873	-2.16641785506199
1436462_at	0610010B08Rik	0.396258069946174	-0.709126697253565	0.620807905242807	0.387853811816291	-0.844874126307987
1447977_x_at	0610010B08Rik	0.24438603203877	-0.897715428787548	0.0578668457894214	0.0369512156792418	-0.423002400350405
1428652_at	0610010F05Rik	0.52429498315656	0.135911595999689	-0.483328010932193	1.07344319343496	1.19821764424269
1456660_a_at	0610010F05Rik	NA	-0.164758997003666	-0.042858924393478	-0.25855536901939	0.0619761711374789
1428679_s_at	0610010K14Rik	-0.0789439486035484	0.281159686666674	0.0624517641684097	0.296928169166796	0.418527566716065
1429252_at	0610010K14Rik	0.0937242794175273	0.412445758363091	0.232860770545106	0.280462238774458	0.433773060200771
1427878_at	0610010O12Rik	0.209568179435315	0.463670461933688	-0.0187312955340211	-0.163169456262054	-0.449146047728597
1441883_at	0610010O12Rik	NA	NA	NA	NA	NA
1431126_a_at	0610011F06Rik	0.385720932124325	0.408819360223294	0.0231716012832077	0.104200505994696	0.0713740668076923
1434771_at	0610011F06Rik	-0.000851397300198897	0.0740850547505882	-0.0302399460894227	0.0322833338621642	-0.144406722503016
1426017_a_at	0610011L14Rik	-0.268996893319882	0.0709816771011162	0.112677230470217	-0.19917893222375	-0.121738216578718
1437835_a_at	0610011L14Rik	NA	0.0641926600238287	0.158985645148116	NA	-0.326528941894821
1437836_x_at	0610011L14Rik	NA	NA	NA	NA	NA
1459456_at	0610011L14Rik	NA	NA	NA	NA	NA
1417002_at	0610012G03Rik	-0.355445765031517	-0.0222139128618846	0.0264302346438523	0.210680922932474	-0.0515374081842399
1417003_at	0610012G03Rik	-0.159519920439883	-0.171890763212603	-0.17712296971483	0.349960420749626	0.587520270739105
1448540_a_at	0610012G03Rik	-0.347226226260664	-0.119193899518638	-0.0689292664505299	0.34260224893492	-0.0539628581635068
1453043_at	0610012H03Rik	NA	NA	NA	NA	NA
1432532_at	0610025J13Rik	NA	NA	NA	NA	NA
1435538_at	0610030E20Rik	-0.483492981940296	-0.264489213020472	-0.134114623389539	-0.468876985648507	-0.0367326385068694
1453243_at	0610030E20Rik	-0.209663977548439	0.0545711977837016	-0.0137807409922424	-0.0658278264933276	-0.0310478470894786
1416830_at	0610031J06Rik	-0.271653772738992	0.0909654788305581	0.173241892898357	-0.733968645631599	-1.01842070032785
1432291_at	0610033M10Rik	NA	NA	NA	NA	NA
1426467_s_at	0610037L13Rik	0.722877993600468	0.501314467628999	0.255704973882095	1.03575728234191	0.900307977595407
1426468_at	0610037L13Rik	0.095011405184624	0.129855848388967	0.139292350862146	0.0672054242862732	0.24301449648434
1429879_at	0610037L13Rik	NA	-0.350834032974745	0.0948884908899492	-0.809853413551297	-0.603230655243884
1438343_at	0610037L13Rik	NA	NA	NA	NA	NA
1456370_s_at	0610037L13Rik	NA	NA	NA	NA	NA
1451187_at	0610037P05Rik	0.0457417488364946	0.164289889389837	0.209982830707435	0.0785248832845387	0.0427552351741181
1430930_at	0610038B21Rik	NA	NA	NA	NA	NA
1431583_at	0610038L08Rik	NA	NA	NA	NA	NA
1430761_at	0610039K10Rik	NA	NA	NA	NA	NA
1432770_at	0610040A22Rik	NA	NA	NA	NA	NA
1447886_at	0610040B09Rik	-0.370377870482459	-0.505935976434628	0.10323574840187	-1.08260265429486	-0.847239313456441
1445557_at	0610040B10Rik	NA	NA	NA	NA	NA
1456161_at	0610040B10Rik	NA	NA	NA	NA	NA
1442672_at	0610040F04Rik	NA	NA	NA	NA	NA
1424404_at	0610040J01Rik	NA	NA	NA	NA	NA
1432661_at	0610042E11Rik	NA	NA	NA	NA	NA
1432662_at	0610042E11Rik	NA	NA	NA	NA	NA
1454126_at	0710001A04Rik	NA	NA	NA	NA	NA
1428989_at	0710001D07Rik	-0.0881295082342834	0.0940403825517313	-0.0150991033132062	0.140512144585314	0.0874248592657043
1435109_at	0710007G10Rik	NA	-0.510790348638152	-0.0156030088933212	NA	NA
1434214_at	0910001L09Rik	0.0117899227482692	0.238130350863791	0.203441466309513	-0.189514019518539	-0.528047072784368
1431367_at	1-Mar	NA	NA	NA	NA	NA
1434955_at	1-Mar	NA	NA	NA	NA	NA
1440209_at	1-Mar	NA	NA	NA	NA	NA
1449898_at	1-Sep	NA	NA	NA	NA	NA
1438105_at	10-Mar	NA	NA	NA	NA	NA
1456171_at	10-Mar	NA	NA	NA	NA	NA
1437208_at	10-Sep	0.130951756394811	-0.268127799625193	-0.0810657306698159	-0.138398761748749	-0.160894066339207
1438804_at	10-Sep	NA	NA	NA	NA	NA
1426558_x_at	100043387	-0.347482611922992	-1.34930367159094	-0.26449688138306	-0.0428760412475313	-0.574344901699709
1457715_at	1010001B22Rik	NA	NA	NA	NA	NA
1454127_at	1010001I08Rik	NA	NA	NA	NA	NA
1455947_at	11-Mar	NA	NA	NA	NA	NA
1429233_at	11-Sep	NA	NA	NA	NA	NA
1429234_s_at	11-Sep	1.33139961038417	1.22334172240369	-0.193834779827338	2.94632217251679	3.59709074841464
1460626_at	11-Sep	0.369023547203997	-0.0708753861383453	-0.0932411829748894	0.262663194148247	0.68170948146048
1434484_at	1100001G20Rik	-2.21602884670753	-4.04567941810533	-0.109740072216093	-0.847517236582878	-4.22688643361646
1435755_at	1110001A16Rik	-0.412087784482871	-0.532195756533445	0.19246556609726	-0.798177779361373	-1.08309886873795
1416367_at	1110001J03Rik	-0.0523124911812332	0.0388428062898143	0.17413433309401	0.911404104991027	0.975136454354415
1448388_a_at	1110002B05Rik	-0.335610789192708	-0.263926727318312	-0.104495862997606	0.0127286673179512	-0.362442144156727
1430786_at	1110002E22Rik	NA	NA	NA	NA	NA
1447870_x_at	1110002E22Rik	NA	NA	NA	NA	NA
1429484_at	1110002L01Rik	-0.0709176917144827	-0.0163078384133168	NA	NA	0.169366204188935
1452256_at	1110002N22Rik	-0.111050194377294	0.0504209334783345	0.146729283625961	0.0213570754370505	0.401020596416442
