gene	P43_HG	P56_bulge	P56_HG	P69_bulge	P69_HG
1700029P11Rik	0.13948379870989	0.0380282389151274	-0.149356482046382	0.0380282389151274	0.60134191586643
1700030K09Rik	-0.157311148482284	0.100012859273059	0.394957546258673	0.179775879412407	-0.265755793418047
1700034I23Rik	0.0143663154319387	0.0836578418542007	0	0	0.275034060070569
1700037H04Rik	-0.610042720771374	0.0391814758542153	-0.490244842269383	-0.150357601948161	-0.096555878444895
1700040I03Rik	0.920145639360623	-0.1651617123183	-0.381967001978875	-0.669209157218263	-0.448971464004079
1700045I19Rik	0	0	0	0.0560109968015867	0
1700052N19Rik	0.168169576785219	0.166534477137366	0.00765751383685265	0.0807427974330186	-0.0381568773372425
1700054N08Rik	0.506311433233352	0.0987258503789081	0.294206432398623	-0.0788859603562146	0.176228702689894
1700054O13Rik	-0.517205112154811	-0.276426254293824	-0.137489816896673	-0.190408169465812	-0.0468097988615161
1700065I17Rik	0	0	-0.147843389949411	0	0.423058730337186
1700067P10Rik	-0.0950020520468575	0.153245654856838	-0.0847354176766517	-0.0100464048616846	0.187408696368352
1700071K01Rik	0.837569045540186	0.165577919518014	0.972397938014423	0.0411786228998277	-0.130484106460341
1700073E17Rik	0.221510038246967	0.340744861251835	0.00127468307338319	0.155908590584755	0.477641458876537
1700074P13Rik	-0.215680010622077	0.136797070337614	-0.00743763435625322	-0.232273724079571	0.146776874376779
1700080E11Rik	0.195281539062093	-0.171706555861681	0.0406155972888724	0.0861925986236978	0.193710423940638
1700082M22Rik	-0.136684726839138	-0.141881921744959	-0.0593688098769398	0.0232533114216391	0.71568424027571
1700088E04Rik	-0.414228553764471	0.124905707648686	-0.64235025253758	-0.00570047699410647	-0.319117436657526
1700091H14Rik	0.0752448392653955	0.0284975180450253	0.0236232192321513	0.0236232192321513	0.342048929307601
1700093K21Rik	0.078996147500265	0.02016756906947	0.0690936658353656	0.165153400827124	0.297887429604693
1700094D03Rik	-0.397204508489393	0.290581310294195	0.192328185848784	0.0279589340025517	-0.634656096601549
1700094J05Rik	0.0542603679631544	-0.0502653203267904	0.147710295832998	0.0954874470001599	0.223926393208041
1700097N02Rik	-0.122577928877012	-0.125504854735707	-0.0886719282726145	-0.0285293765827683	-0.0886719282726145
1700102P08Rik	0.167746351806918	0.167746351806918	0.167746351806918	0.147133301829736	0.141980703953347
1700120B22Rik	-0.218403891594059	0	-0.0365816254575968	0.0567432347622354	-0.0780023733339288
1700120K04Rik	-0.224167797858298	0.207861698676299	-0.144015921692566	0.0596753146434725	-0.0579332298565225
1700123K08Rik	-0.00452908106726913	0.210871020524842	0.0595807419534831	0	0
1700123O20Rik	-0.190217847595974	-0.0547259402146913	-0.114103632613167	0.00656515950463188	-0.478372536535314
1700129C05Rik	-0.0250534048098112	-0.0406153037968111	-0.0250534048098112	-0.0250534048098112	0.191731826428618
1810006K21Rik	-0.533555871568852	-0.101601021566758	-0.101601021566758	-0.188968083261174	-0.580583465644061
1810008A18Rik	-0.023462353984578	0.244203382760617	0.0560320839352837	-0.151936950365722	0.0473106388297726
1810009A15Rik	0.0226390720753038	0	-0.486678570156716	-0.510118379252268	-1.05424010601717
1810009J06Rik	-0.139738957064006	0.015578696345389	0.0707011742957731	0.165423303923962	0.330718719752085
1810009N02Rik	-0.268146064660665	0.091935177837617	-0.476379934801431	-0.160158626578239	-0.475489417349526
1810011O10Rik	4.45850985847011	-1.43192376048675	3.7378675678093	-0.687954595642562	4.14041769635353
1810014F10Rik	0.817953102393973	0.378421343552663	0.567168155969243	0.303641451920439	0.431181632408045
1810019J16Rik	-0.293623603947238	0.128721922131037	-0.239310901019108	0.12385406313091	-0.158125425055254
1810019N24Rik	0.157208642238776	0.0918476875348686	0	-0.118685678814305	-0.0182036823234952
1810020D17Rik	-1.16450045170944	0.135510807002586	-0.691451013081802	-0.107621320080819	-1.71850162587148
1810021B22Rik	-0.0786748715419874	0.24855984819378	-0.152755946447098	0.265687337716992	0.0630356330251862
1810026J23Rik	0.151053633228103	0.223335093763358	-0.0453046773165076	-0.0392354025583912	0.0710827391131503
1810029B16Rik	0.330116831499588	0.132185923594716	0.379399962031067	-0.162436175337655	0.291613537223285
1810030J14Rik	-0.17390629999051	-0.116695424985556	-0.193988532480963	-0.076333299685571	0.022519832174078
1810030N24Rik	-0.587081278860961	-0.0236908236478168	-0.153248945858689	0.0304368844540477	-0.92601212142929
1810030O07Rik	0.0335331740148743	0.237788114536009	0.132190084751964	0.0920525150903306	-0.108888054845304
1810031K17Rik	-0.448446496498546	-0.117642766848755	-0.148957271827813	-0.00667532007429372	-0.16611042430088
1810032O08Rik	1.14856677785563	0.258192278395016	1.30735368813079	-0.319315592055856	0.307273046296806
1810035L17Rik	0.0452378957119848	0.0460281697553846	-0.377471475035021	-0.689851225165366	-0.227097222594413
1810037I17Rik	0.714254157605902	0.106482321102813	0.825589585957324	0.0992786024332535	0.600269233953837
1810043G02Rik	-0.392441940791106	0.166252439448542	0.125239501360931	0.077481136054339	0.0765479772106539
1810044D09Rik	-0.452532863851387	0.425405134681643	0.0396364456376332	0.240331656478112	-0.0227967726039262
1810046J19Rik	-0.835146307399544	0.275164817950346	-1.19253786090678	-0.74366432641286	-1.63927424565146
1810048J11Rik	-0.725218128788802	-0.269232835043328	-0.860066776943512	0.501960573002843	-1.20803082642096
1810049H13Rik	-0.214814746488727	0.0455615377363054	-0.167646857640767	-0.392718700881767	0.28315391039307
1810055G02Rik	0.700464738200172	0.104405241706045	0.599812305827845	-0.113096474328652	-0.519256409210717
1810058I24Rik	-0.696303413006961	-0.0935528899747009	-0.55454392962482	-0.0337401847205445	-0.59979635361066
