GeneSymbol	P43_HG	P56_bulge	P56_HG	P69_bulge	P69_HG
Itga3	1.27883329916468	0.0259006544986873	1.22225236048588	0.597275739653459	0.542161750936303
Itga4	NA	NA	NA	NA	NA
Itga5	NA	NA	NA	NA	-0.0100178213935598
Itga6	1.78398573357159	0.017369534869947	1.49601273675873	0.565477489059689	0.658901721535242
Itga7	NA	NA	NA	NA	NA
Itga8	NA	NA	NA	NA	NA
Itga9	NA	NA	0.368244680021928	NA	NA
Itgae	-0.698470198163548	1.05749786905633	-0.28851003287483	0.711468673178653	-0.275950881432459
Itgal	NA	NA	NA	NA	NA
Itgam	NA	NA	NA	NA	NA
Itgav	-0.408814130747738	0.177591348875017	-0.448633142126118	0.236361483016402	-0.261208945395826
Itgax	NA	NA	NA	NA	NA
Itgb1	0.909534317042552	-0.539621429166638	0.828160094488671	0.412963893012402	0.372584162592768
Itgb1bp1	0.145492182853198	0.185354524381043	0.28819708556353	-0.305927686636853	0.0477796575626028
Itgb1bp2	NA	NA	NA	NA	NA
Itgb2	NA	NA	NA	NA	NA
Itgb2l	NA	NA	NA	NA	NA
Itgb3	NA	NA	NA	NA	NA
Itgb3bp	-0.485127466366666	-0.204907457809153	-0.203305082654166	-0.729257492796811	-0.458008398209182
Itgb4	-0.14449692224262	0.050473008616617	0.9270006683759	0.38124324318904	-0.459964537416541
Itgb5	-0.928319082550519	0.236422348349973	-0.254198594150641	0.232629127604414	0.180468427107374
Itgb6	0.107792103502315	0	0.518716318416903	0.877971871262564	0.215308534418674
Itgb7	NA	NA	NA	NA	NA
Itgbl1	-0.325644351297092	0.0215433819150297	-0.153943259771411	0.247133227963896	0.0247712742998996
Itih1	NA	NA	NA	NA	NA
Itih2	NA	NA	NA	NA	NA
Itih3	NA	NA	NA	NA	NA
Itih4	NA	NA	NA	NA	NA
Itih5	0.922131362152515	-0.839866755065571	2.04116715093288	-1.24684736738143	0.549903628310761
Itk	-0.386094914237908	0.532280643090965	-0.326442493293352	-0.153433943183949	-0.601747158357225
Itln1	NA	NA	NA	NA	NA
Itlnb	NA	NA	NA	NA	NA
Itm2a	-1.38634627297973	0.401987656938263	-1.5354211377512	1.18546569500731	-1.55080994727356
